ticker,name,sector
OMRE,Indonesia Prima Property,Properti
OPMS,Optima Prima Metal Sinergi,Perindustrian
PACK,Abadi Nusantara Hijau Investama,Konsumen Non-Primer
PADA,Personel Alih Daya,Perindustrian
PADI,Minna Padi Investama Sekuritas,Keuangan
PALM,Provident Investasi Bersama,Keuangan
PAMG,Bima Sakti Pertiwi,Properti
PANI,Pantai Indah Kapuk Dua,Properti
PANR,Panorama Sentrawisata,Konsumen Non-Primer
PANS,Panin Sekuritas,Keuangan
PART,Cipta Perdana Lancar,Konsumen Non-Primer
PBID,Panca Budi Idaman,Konsumen Non-Primer
PBRX,Pan Brothers,Konsumen Non-Primer
PBSA,Paramita Bangun Sarana,Perindustrian
PCAR,Prima Cakrawala Abadi,Konsumen Primer
PDES,Destinasi Tirta Nusantara,Konsumen Non-Primer
PDPP,Primadaya Plastisindo,Konsumen Non-Primer
PEGE,Panca Global Kapital,Keuangan
PEHA,Phapros,Kesehatan
PEVE,PT. Penta Valent,Kesehatan
PGAS,Perusahaan Gas Negara,Energi
PGEO,Pertamina Geothermal Energy,Energi
PGJO,Bahtera Bumi Raya,Perindustrian
PGLI,Pembangunan Graha Lestari Indah,Konsumen Non-Primer
PGUN,Pradiksi Gunatama,Konsumen Primer
PICO,Pelangi Indah Canindo,Konsumen Non-Primer
PIPA,Oxala Energy International,Perindustrian
PJAA,Pembangunan Jaya Ancol,Konsumen Non-Primer
PJHB,Pelayaran Jaya Hidup Baru TBK,Perindustrian
PKPK,Paragon Karya Perkasa,Perindustrian
PLAN,Planet Properindo Jaya,Konsumen Non-Primer
PMJS,Putra Mandiri Jembar,Konsumen Non-Primer
PMUI,Prima Multi Usaha Indonesia,Teknologi
PNBN,Bank Pan Indonesia,Keuangan
PNBS,Bank Panin Dubai Syariah,Keuangan
PNGO,AEP Pinago Plantations,Konsumen Primer
PNIN,Paninvest,Keuangan
PNLF,Panin Financial,Keuangan
PNSE,Pudjiadi and Sons,Konsumen Non-Primer
POLA,Pool Advista Finance,Keuangan
POLI,Pollux Hotels Group,Properti
POLU,Golden Flower,Konsumen Non-Primer
PORT,Nusantara Pelabuhan Handal,Perindustrian
POWR,Cikarang Listrindo,Infrastruktur
PPRE,PP Presisi,Perindustrian
PPRI,Paperocks Indonesia,Konsumen Non-Primer
PPRO,Pembangunan Perumahan Properti,Properti
PRAY,Famon Awal Bros Sedaya,Kesehatan
PRDA,Prodia Widyahusada,Kesehatan
PRDL,Prodia Diagnostic Line,Kesehatan
PRIM,Royal Prima,Kesehatan
PSAB,J Resources Asia Pasifik,Barang Baku
PSAT,Pancaran Samudera Transport,Perindustrian
PSDN,Prasidha Aneka Niaga,Konsumen Primer
PSGO,Palma Serasih,Konsumen Primer
PSKT,Red Planet Indonesia,Konsumen Non-Primer
PSSI,IMC Pelita Logistik,Perindustrian
PTBA,Bukit Asam,Energi
PTIS,Indo Straits,Perindustrian
PTMP,Mitra Pack,Perindustrian
PTPP,PP Persero,Infrastruktur
PTPS,Pulau Subur,Konsumen Primer
PTPW,Pratama Widya,Perindustrian
PTRO,Petrosea,Energi
PTSN,Sat Nusapersada,Teknologi
PTSP,Pioneerindo Gourmet International,Konsumen Non-Primer
PUDP,Pudjiadi Prestige,Properti
PURA,Putra Rajawali Kencana,Perindustrian
PURI,Puri Global Sukses,Properti
PWON,Pakuwon Jati,Properti
PYFA,Pyridam Farma,Kesehatan
PZZA,Sarimelati Kencana,Konsumen Non-Primer
RAAM,Tripar Multivision Plus,Infrastruktur
RAJA,Rukun Raharja,Energi
RALS,Ramayana Lestari Sentosa,Konsumen Non-Primer
RANC,Supra Boga Lestari,Konsumen Primer
RANS,Rans Entertainmen Indonesia,Perindustrian
RATU,Raharja Energi Cepu,Energi
RBMS,Ristia Bintang Mahkotasejati,Properti
RCCC,Utama Radar Cahaya,Perindustrian
RDTX,Roda Vivatex,Properti
REAL,Repower Asia Indonesia,Properti
RELF,Graha Mitra Asia,Properti
RELI,Reliance Sekuritas Indonesia,Keuangan
RGAS,Kian Santang Muliatama,Energi
RICY,Ricky Putra Globalindo,Konsumen Non-Primer
RIGS,Rig Tenders Indonesia,Perindustrian
RISE,Jaya Sukses Makmur Sentosa,Properti
RLCO,Abadi Lestari Indonesia,Konsumen Primer
RMKE,RMK Energy,Energi
RMKO,Royaltama Mulia Kontraktorindo,Energi
ROCK,Rockfields Properti Indonesia,Properti
RODA,Pikko Land Development,Properti
RONY,Aesler Grup Internasional,Perindustrian
ROTI,Nippon Indosari Corpindo,Konsumen Primer
RSCH,Charlie Hospital Semarang,Kesehatan
RSGK,Kedoya Adyaraya,Kesehatan
RUIS,Radiant Utama Interinsco,Energi
RUNS,Global Sukses Solusi,Teknologi
SAFE,Steady Safe,Perindustrian
SAGE,Saptausaha Gemilangindah,Properti
SAME,Sarana Meditama Metropolitan,Kesehatan
SAMF,"Saraswanti Anugerah Makmur,",Barang Baku
SAPX,Satria Antaran Prima,Perindustrian
SATU,Kota Satu Properti,Properti
SBMA,Surya Biru Murni Acetylene,Barang Baku
SCCO,Supreme Cable Manufacturing & Commerce,Perindustrian
SCMA,Surya Citra Media,Konsumen Non-Primer
SCNP,Selaras Citra Nusantara Perkasa,Teknologi
SDMU,Sidomulyo Selaras,Perindustrian
SDPC,Millennium Pharmacon International,Kesehatan
SDRA,Bank Woori Saudara Indonesia 1906,Keuangan
SEMA,Semacom Integrated,Perindustrian
SFAN,Surya Fajar Capital,Keuangan
SGER,Sumber Global Energy,Energi
SGRO,Sampoerna Agro,Konsumen Primer
SHID,Hotel Sahid Jaya International,Konsumen Non-Primer
SHIP,Sillo Maritime Perdana,Transportasi & Logistik
SICO,Sigma Energy Compressindo,Energi
SIDO,Industri Jamu Sido Muncul,Kesehatan
SILO,Siloam International Hospitals,Kesehatan
SIMP,Salim Ivomas Pratama,Konsumen Primer
SINI,Singaraja Putra,Barang Baku
SIPD,Sreeya Sewu Indonesia,Konsumen Primer
SKBM,Sekar Bumi,Konsumen Primer
SKLT,Sekar Laut,Konsumen Primer
SKRN,Superkrane Mitra Utama,Perindustrian
SLIS,Gaya Abadi Sempurna,Teknologi
SMAR,Sinar Mas Agro Resources and Technology,Konsumen Primer
SMBR,Semen Baturaja,Barang Baku
SMCB,Solusi Bangun Indonesia,Barang Baku
SMDM,Suryamas Dutamakmur,Properti
SMDR,Samudera Indonesia,Transportasi & Logistik
SMGA,Sumber Mineral Global Abadi,Barang Baku
SMGR,Semen Indonesia,Barang Baku
SMIL,Sarana Mitra Luas,Perindustrian
SMKL,Satyamitra Kemas Lestari,Konsumen Non-Primer
SMKM,Sumber Mas Konstruksi,Perindustrian
SMLE,Sinergi Multi Lestarindo,Barang Baku
SMMA,Sinar Mas Multiartha,Keuangan
SMMT,Golden Eagle Energy,Energi
SMRA,Summarecon Agung,Properti
SMSM,Selamat Sempurna,Konsumen Non-Primer
SNLK,Sunter Lakeside Hotel,Konsumen Non-Primer
SOCI,Soechi Lines,Perindustrian
SOFA,Solusi Environment Asia,Infrastruktur
SOHO,Soho Global Health,Kesehatan
SOLA,Xolare RCR Energy TBK,Perindustrian
SONA,Sona Topas Tourism Industry,Konsumen Non-Primer
SOSS,Alsok Indonesia Services,Perindustrian
SOTS,Satria Mega Kencana,Konsumen Non-Primer
SPMA,Suparma,Barang Baku
SPRE,Soraya Berjaya Indonesia,Konsumen Non-Primer
SPTO,Surya Pertiwi,Konsumen Non-Primer
SQMI,Wilton Makmur Indonesia,Barang Baku
SRAJ,Sejahteraraya Anugrahjaya,Kesehatan
SRSN,Indo Acidatama,Barang Baku
SRTG,Saratoga Investama Sedaya,Keuangan
SSIA,Surya Semesta Internusa,Properti
SSMS,Sawit Sumbermas Sarana,Konsumen Primer
SSTM,Sunson Textile Manufacturer,Konsumen Non-Primer
STAA,Sumber Tani Agung Resources,Konsumen Primer
STAR,Calculus Global Ventures,Keuangan
STRK,Lovina Beach Brewery,Konsumen Primer
STTP,Siantar Top,Konsumen Primer
SULI,SLJ Global,Barang Baku
SUNI,Sunindo Pratama,Energi
SUPA,Super Bank Indonesia,Keuangan
SURE,Super Energy,Energi
SURI,Maja Agung Latexindo,Kesehatan
SWID,Saraswanti Indoland Development,Properti
TALF,Tunas Alfin,Konsumen Non-Primer
TAMA,Lancartama Sejati,Properti
TAMU,Pelayaran Tamarin Samudra,Perindustrian
TAPG,Triputra Agro Persada,Konsumen Primer
TARA,Agung Semesta Sejahtera,Properti
TAXI,Express Transindo Utama,Perindustrian
TBIG,Tower Bersama Infrastructure,Infrastruktur
TBLA,Tunas Baru Lampung,Konsumen Primer
TBMS,Tembaga Mulia Semanan,Perindustrian
TCID,PT. Mandom Indonesia,Konsumen Primer
TCPI,Transcoal Pacific,Perindustrian
TEBE,Dana Brata Luhur,Perindustrian
TFAS,Telefast Indonesia,Perindustrian
TFCO,Tifico Fiber Indonesia,Konsumen Non-Primer
TGKA,Tigaraksa Satria,Konsumen Primer
TGUK,Platinum Wahab Nusantara,Konsumen Primer
TIFA,KDB Tifa Finance,Keuangan
TINS,Timah,Barang Baku
TIRA,Tira Austenite,Perindustrian
TKIM,Pabrik Kertas Tjiwi Kimia,Barang Baku
TLDN,Teladan Prima Agro,Konsumen Primer
TLKM,Telkom Indonesia,Infrastruktur
TMAS,Temas,Transportasi & Logistik
TMPO,Tempo Inti Media,Infrastruktur
TNCA,Trimuda Nuansa Citra,Perindustrian
TOBA,TBS Energi Utama,Energi
TOOL,Rohartindo Nusantara Luas,Konsumen Non-Primer
TOSK,Topindo Solusi Komunika,Teknologi
TOTL,Total Bangun Persada,Infrastruktur
TOTO,Surya Toto Indonesia,Perindustrian
TOWR,Sarana Menara Nusantara,Infrastruktur
TPIA,Chandra Asri Pacific,Barang Baku
TPMA,Trans Power Marine,Perindustrian
TRGU,Cerestar Indonesia,Konsumen Primer
TRIM,Trimegah Sekuritas Indonesia,Keuangan
TRIN,Perintis Triniti Properti,Properti
TRIS,Trisula International,Konsumen Non-Primer
TRJA,Transkon Jaya,Perindustrian
TRON,Teknologi Karya Digital Nusa,Teknologi
TRST,Trias Sentosa,Konsumen Non-Primer
TRUK,Guna Timur Raya,Perindustrian
TRUS,Trust Finance Indonesia,Keuangan
TSPC,Tempo Scan Pacific,Perindustrian
TUGU,Asuransi Tugu Pratama Indonesia,Keuangan
TYRE,King Tire Indonesia,Konsumen Non-Primer
UANG,Pakuan,Properti
UCID,Uni-Charm Indonesia,Konsumen Primer
UDNG,Agro Bahari Nusantara,Konsumen Primer
UFOE,Damai Sejahtera Abadi,Konsumen Non-Primer
ULTJ,Ultrajaya Milk Industry,Konsumen Primer
UNIC,Unggul Indah Cahaya,Barang Baku
UNIQ,Ulima Nitra,Energi
UNTD,Terang Dunia Internusa,Konsumen Non-Primer
UNTR,United Tractors,Perindustrian
UNVR,Unilever Indonesia,Konsumen Primer
URBN,Urban Jakarta Propertindo,Properti
UVCR,Trimegah Karya Pratama,Teknologi
VAST,Vastland Indonesia,Properti
VERN,Verona Indah Pictures,Infrastruktur
VICI,Victoria Care Indonesia,Konsumen Primer
VICO,Victoria Investama,Keuangan
VINS,Victoria Insurance,Keuangan
VISI,Satu Visi Putra,Perindustrian
VIVA,Visi Media Asia,Infrastruktur
VKTR,VKTR Teknologi Mobilitas,Konsumen Non-Primer
VOKS,Voksel Electric,Perindustrian
VRNA,Mizuho Leasing Indonesia,Keuangan
VTNY,Venteny Fortuna International,Perindustrian
WAPO,Wahana Pronatural,Konsumen Primer
WBSA,BSA Logistics Indonesia,Perindustrian
WEGE,Wijaya Karya Bangunan Gedung,Perindustrian
WEHA,WEHA Transportasi Indonesia,Perindustrian
WGSH,Wira Global Solusi,Teknologi
WIDI,Widiant Jaya Krenindo,Perindustrian
WIFI,Solusi Sinergi Digital,Teknologi
WIIM,Wismilak Inti Makmur,Konsumen Primer
WIKA,Wijaya Karya,Infrastruktur
WINE,HATTEN BALI,Konsumen Primer
WINR,Winner Nusantara Jaya,Properti
WINS,Wintermar Offshore Marine,Perindustrian
WIRG,WIR ASIA,Teknologi
WMPP,Widodo Makmur Perkasa,Perindustrian
WMUU,Widodo Makmur Unggas,Konsumen Primer
WOMF,Wahana Ottomitra Multiartha,Keuangan
WOOD,Integra Indocabinet,Konsumen Non-Primer
WOWS,Ginting Jaya Energi,Energi
WTON,Wijaya Karya Beton,Barang Baku
YELO,Yelooo Integra Datanet,Konsumen Non-Primer
YOII,Asuransi Digital Bersama TBK,Keuangan
YPAS,Yanaprima Hastapersada,Konsumen Non-Primer
YULE,Yulie Sekuritas Indonesia,Keuangan
YUPI,Yupi Indo Jelly Gum,Konsumen Primer
ZATA,Bersama Zatta Jaya,Konsumen Non-Primer
ZONE,Mega Perintis,Konsumen Non-Primer
ZYRX,Zyrexindo Mandiri Buana,Teknologi
